"","Learning","Testing","1","2","1","2"
"1","I2 and I3","I1",1.3,0.85,1,0.82
"2","I1 and I3","I2",1.3,0.86,1,0.93
"3","I1 and I2","I3",1.4,0.79,1,0.82
